settlement_code,settlement,year,rows
,"ניר ח""ן",2005,8
,ניר ישראל,2005,1
,ניר עקיבא,2005,5
,"נתיב הל""ה",2005,1
,עזר,2005,5
,עזריה,2005,10
,עזריקם,2005,10
,ערוגות,2005,7
,פטיש,2005,4
,פרי גן,2005,11
,צלפון,2005,2
,קוממיות,2005,1
,קלחים,2005,7
,קריית מלאכי,2005,141
,רבדים,2005,17
,רמות מאיר,2005,3
,שדה עוזיהו,2005,7
,שחר,2005,3
,שפיר,2005,5
,שקף,2005,2
,שרשרת,2005,1
,שתולים,2005,11
,תושיה,2005,1
,תימורים,2005,18
,תל יוסף,2005,2
,תלמי יחיאל,2005,2
,תלמי יפה,2005,33
,תלמי מנשה,2005,4
,תלמים,2005,9
,,2006,225
,אבו גוש,2006,29
,אבו סנאן,2006,63
,אבו קורינאת )שבט(,2006,1
,אבטליון,2006,9
,אביעזר,2006,42
,אבירים,2006,2
,אבן מנחם,2006,3
,אבן ספיר,2006,5
,אדירים,2006,2
,אדמית,2006,13
,אדרת,2006,8
,אוהד,2006,1
,אום אל-פחם,2006,235
,אומן,2006,4
,אחוזת ברק,2006,4
,אחיהוד,2006,12
,אילון,2006,3
,אילות,2006,2
,אפיק,2006,1
,ארבל,2006,15
,אשבול,2006,9
,אשחר,2006,13
,אשלים,2006,8
,אשרת,2006,2
,אשתאול,2006,9
,באר אורה,2006,4
,בוסתן הגליל,2006,64
,בטחה,2006,1
,ביר הדאג',2006,3
,בית אלפא,2006,1
,בית ג'ן,2006,60
,בית השיטה,2006,3
,בית חנניה,2006,3
,בית יוסף,2006,1
,בית נקופה,2006,6
,בית קמה,2006,1
,בית שאן,2006,161
,בן עמי,2006,1
,בני יהודה,2006,4
,"בסמ""ה",2006,1
,בענה,2006,30
,בצת,2006,6
,בר גיורא,2006,1
,ברוש,2006,12
,ברק,2006,3
,ג'דיידה-מכר,2006,38
,ג'ולס,2006,36
,גבעת אלה,2006,7
,גבעת יואב,2006,1
,גבעת יערים,2006,42
,גבעת ישעיהו,2006,28
,גדיידה,2006,15
,גדעונה,2006,6
,גדרה,2006,473
,גורן,2006,2
,גילון,2006,16
,גיתה,2006,4
,גלאון,2006,1
,גן נר,2006,7
,גשר הזיו,2006,1
,גת בגליל,2006,21
,דבורה,2006,1
,דייר אל-אסד,2006,6
,דייר חנא,2006,31
,דקל,2006,6
,הושעיה,2006,7
,הילה,2006,1
,הר אדר,2006,1
,הררית,2006,12
,זכריה,2006,8
,זלפה,2006,12
,זנוח,2006,1
,חבר,2006,8
,חד-נס,2006,2
,חוסן,2006,14
,חורפיש,2006,20
,חלוץ,2006,2
,חניתה,2006,2
,חנתון,2006,43
,חספין,2006,7
,חצבה,2006,6
,חריש,2006,16
,חרשים,2006,7
,טל-אל,2006,2
,טמרה,2006,68
,יאנוח,2006,4
,יאנוח-ג'ת,2006,2
,יובלים,2006,4
,יודפת,2006,1
,יסעור,2006,2
,יעד,2006,22
,יעל,2006,2
,יערה,2006,2
,ירדנה,2006,2
,ירוחם,2006,55
,ירכא,2006,50
,ישע,2006,3
,כאבול,2006,21
,כאוכב אבו אל-היג'א,2006,29
,כיסרא,2006,8
,כישור,2006,2
,כליל,2006,6
,כמון,2006,6
,כנף,2006,2
,כסלון,2006,4
,כסרא-סמיע,2006,18
,כפר אל עוברה,2006,1
,כפר ברוך,2006,15
,כפר החורש,2006,6
,"כפר הרי""ף",2006,11
,כפר ורדים,2006,55
,כפר חנניה,2006,1
,כפר יאסיף,2006,39
,כפר יחזקאל,2006,19
,כפר מצר,2006,2
,כפר סמיע,2006,4
,כפר ראש הנקרה,2006,41
,כפר רוזנואלד )זרעית(,2006,2
,לבון,2006,5
,להבים,2006,129
,לוזית,2006,43
,לוחמי הגיטאות,2006,1
,לוטם,2006,10
,מ. א. בקעת בית שאן,2006,5
,מ. א. חבל אילות,2006,1
,מ. א. מטה אשר,2006,1
,מ. א. מטה יהודה,2006,68
,מ. א. מעלה יוסף,2006,1
,מ. א. משגב,2006,16
,מ. א. רמת נגב,2006,1
,מבוא ביתר,2006,1
,מבועים,2006,13
,מבשרת ציון,2006,218
,מג`ד אל-כרום,2006,67
,מגדל העמק,2006,184
,מגידו,2006,16
,מגן שאול,2006,1
,מדרשת בן גוריון,2006,4
,מולדת,2006,24
,מועאוויה,2006,12
,מוצא עילית,2006,5
,מוצא תחתית,2006,1
,מוקייבלה,2006,4
,מורן,2006,4
,מורשת,2006,2
,מושיירפה,2006,4
,מזרעה,2006,2
,מחנה גבעת חנניה,2006,12
,מטע,2006,1
,מי עמי,2006,2
,מיטב,2006,1
,מירב,2006,1
,מירון,2006,11
,מיתר,2006,33
,מכמנים,2006,3
,מכר,2006,26
,מלאה,2006,2
,מלילות,2006,2
,מנוחה,2006,47
,מנוף,2006,10
,מנות,2006,2
,מסילת ציון,2006,12
,מסלול,2006,13
,מעגלים,2006,1
,מעונה,2006,4
,מעיליא,2006,71
,מעלות-תרשיחא,2006,116
,מצובה,2006,31
,"מצפה אבי""ב",2006,4
,מצפה רמון,2006,65
,משגב,2006,4
,משמר העמק,2006,133
,מתת,2006,2
,נאות הכיכר,2006,1
,"נווה אטי""ב",2006,1
,נווה אילן,2006,120
,נווה זוהר,2006,1
,נווה זיו,2006,2
,נווה מיכאל,2006,65
,נחלה,2006,4
,נחם,2006,1
,נחף,2006,38
,נטף,2006,1
,ניצני סיני,2006,1
,ניר דוד )תל עמל(,2006,1
,ניר יפה,2006,1
,נס הרים,2006,149
,נס עמים,2006,1
,נצרת,2006,255
,"נתיב הל""ה",2006,1
,נתיב השיירה,2006,3
,סאג'ור,2006,22
,סאלם,2006,2
,סגולה,2006,7
,סח'נין,2006,155
,סלמה,2006,1
,סער,2006,3
,ספיר,2006,14
,עומר,2006,57
,עין איברהים,2006,7
,עין הבשור,2006,4
,עין המפרץ,2006,6
,עין יהב,2006,7
,עין יעקב,2006,6
,עין נקובא,2006,2
,עין עירון,2006,1
,עמינדב,2006,4
,עצמון שגב,2006,3
,עראבה,2006,72
,עראמשה,2006,3
,פדויים,2006,4
,פטיש,2006,7
,פסוטה,2006,64
,"פעמי תש""ז",2006,4
,פקיעין )בוקייעה(,2006,16
,פקיעין חדשה,2006,1
,צביה,2006,5
,צהל,2006,3
,צוחר,2006,1
,צוקים,2006,3
,צור הדסה,2006,43
,צורית,2006,4
,קדמת צבי,2006,1
,קלחים,2006,27
,קציר,2006,23
,קצרין,2006,72
,קריית יערים,2006,56
,קריית ענבים,2006,2
,קרית יערים)מוסד(,2006,8
,ראמה,2006,69
,רביבים,2006,1
,רגבה,2006,8
,רהט,2006,1
,רם-און,2006,7
,רמת חובב,2006,1
,רמת מגשימים,2006,1
,רמת רזיאל,2006,4
,רנן,2006,2
,רקפת,2006,14
,שבי ציון,2006,9
,שגב-שלום,2006,31
,שדה בוקר,2006,13
,שדה משה,2006,16
,שדה ניצן,2006,3
,שדה צבי,2006,1
,שדות מיכה,2006,6
,שדי תרומות,2006,3
,שואבה,2006,4
,שורש,2006,27
,שורשים,2006,2
,שזור,2006,2
,שיבולים,2006,6
,שייח' דנון,2006,8
,שכניה,2006,5
,שלומי,2006,130
,שמשית,2006,9
,שעב,2006,15
,שריגים )לי-און(,2006,6
,שתולה,2006,1
,תדהר,2006,29
,תירוש,2006,7
,תל יוסף,2006,2
,תענך,2006,1
,תקומה,2006,1
,תראבין א-צאנע )שבט(,2006,1
,אבטין,2006,3
,אביאל,2006,4
,אור עקיבא,2006,161
,אושה,2006,1
,איילת השחר,2006,2
,אילניה,2006,12
,אכסאל,2006,45
,אלומות,2006,1
,אלון הגליל,2006,1
,אלוני אבא,2006,91
,אליקים,2006,2
,אמירים,2006,4
,אמנון,2006,1
,אעבלין,2006,189
,אפיקים,2006,2
,אפק,2006,2
,אשדות יעקב )איחוד(,2006,5
,בועיינה-נוג'ידאת,2006,11
,ביר אל-מכסור,2006,10
,ביריה,2006,2
,בית הלל,2006,3
,בית לחם הגלילית,2006,7
,בית שערים,2006,2
,בלפוריה,2006,2
,בנימינה-גבעת עדה,2006,204
,בסמת טבעון,2006,10
,בר יוחאי,2006,3
,ברקאי,2006,1
,בת שלמה,2006,23
,ג'ש )גוש חלב(,2006,57
,גבע כרמל,2006,5
,גבעת אבני,2006,16
,"גבעת ניל""י",2006,5
,גבעת עדה,2006,57
,גפן,2006,5
,דאלית אל-כרמל,2006,164
,דבוריה,2006,25
,דגניה ב',2006,30
,דחי,2006,3
,דליה,2006,1
,דלתון,2006,2
,דמיידה,2006,1
,הבונים,2006,23
,הגושרים,2006,1
,הזורעים,2006,3
,היוגב,2006,5
,הסוללים,2006,3
,זכרון יעקב,2006,469
,זרזיר,2006,14
,חוקוק,2006,6
,חזון,2006,3
,חלף,2006,5
,חצור הגלילית,2006,61
,חרוצים,2006,19
,טובא-זנגריה,2006,17
,טורעאן,2006,84
,טירת כרמל,2006,220
,טפחות,2006,5
,יבנאל,2006,54
,יגור,2006,1
,יובל,2006,2
,יזרעאל,2006,1
,יסוד המעלה,2006,16
,יפיע,2006,47
,יפתח,2006,1
,יקנעם )מושבה(,2006,23
,יקנעם עילית,2006,177
,כנרת )מושבה(,2006,17
,כנרת )קבוצה(,2006,1
,כפר ביאליק,2006,11
,כפר גדעון,2006,3
,כפר גלעדי,2006,1
,כפר הנשיא,2006,8
,כפר זיתים,2006,3
,כפר חיטים,2006,19
,כפר יהושע,2006,7
,כפר כמא,2006,7
,כפר כנא,2006,87
,כפר מנדא,2006,45
,כפר פינס,2006,1
,כפר קיש,2006,24
,כפר קרע,2006,10
,כפר שמאי,2006,9
,כפר תבור,2006,36
,כרכום,2006,3
,"כרם מהר""ל",2006,7
,לביא,2006,5
,לבנים,2006,4
,מ. א. הגליל העליון,2006,8
,מ. א. הגליל התחתון,2006,5
,מ. א. מרום הגליל,2006,3
,מ. א. עמק הירדן,2006,4
,מגאר,2006,45
,מגדים,2006,5
,מגדל,2006,32
,מדרך עוז,2006,32
,מזרע,2006,1
,מטולה,2006,10
,מנחמיה,2006,18
,מנשית זבדה,2006,1
,מסד,2006,4
,מעין ברוך,2006,27
,מעין צבי,2006,3
,מרחביה )מושב(,2006,8
,מרחביה )קיבוץ(,2006,7
,משגב עם,2006,1
,משהד,2006,18
,משמר הירדן,2006,6
,נאעורה,2006,2
,נופית,2006,11
,נחשולים,2006,2
,ניין,2006,9
,סולם,2006,3
,עארה,2006,4
,עדי,2006,39
,עוזייר,2006,3
,עופר,2006,3
,עיילבון,2006,20
,עילוט,2006,31
,עין איילה,2006,10
,עין הוד,2006,3
,עין העמק,2006,6
,עין כרמל,2006,1
,עין מאהל,2006,31
,עמיעד,2006,2
,עמיקם,2006,9
,עספיא,2006,99
,ערערה,2006,36
,עתלית,2006,100
,פוריה - כפר עבודה,2006,2
,פוריה - נווה עובד,2006,4
,פוריה עילית,2006,12
,פוריידיס,2006,9
,ציפורי,2006,9
,צפת,2006,324
,קדרים,2006,1
,קיסריה,2006,94
,קריית טבעון,2006,175
,קריית שמונה,2006,213
,קרית חיים,2006,242
,ראש פינה,2006,60
,רגבים,2006,8
,רומת הייב,2006,2
,ריינה,2006,112
,רכסים,2006,81
,רמות מנשה,2006,11
,רמת השופט,2006,1
,רמת ישי,2006,115
,רמת צבי,2006,16
,שבלי - אום אל-גנם,2006,1
,שדה אילן,2006,1
,שדה אליעזר,2006,6
,שדה יעקב,2006,2
,שדות ים,2006,66
,שדמות דבורה,2006,2
,שפרעם,2006,135
,שרונה,2006,7
,שריד,2006,6
,תל עדשים,2006,30
,תל קציר,2006,13
,תמרת,2006,3
,אביחיל,2006,9
,אבן יהודה,2006,160
,אודים,2006,7
,אום אל-קוטוף,2006,2
,אומץ,2006,49
,אזור,2006,280
,אחיטוב,2006,4
,אחיעזר,2006,7
,איבתאן,2006,1
,אליכין,2006,12
,אלישיב,2006,23
,אלישמע,2006,4
,אלעד,2006,520
,ארסוף,2006,1
,באקה אל-גרביה,2006,75
,בארות יצחק,2006,1
,בארותיים,2006,3
,בורגתה,2006,1
,ביר א סכה,2006,1
,בית אלעזרי,2006,8
,בית גמליאל,2006,8
,בית דגן,2006,96
,בית חירות,2006,4
,בית חלקיה,2006,39
,בית חשמונאי,2006,13
,בית יהושע,2006,3
,בית ינאי,2006,7
,בית יצחק-שער חפר,2006,89
,בית עוזיאל,2006,1
,בית עזרא,2006,6
,בית עמרא,2006,4
,בית עריף,2006,5
,ביתן אהרן,2006,16
,בן זכאי,2006,2
,בן שמן )מושב(,2006,6
,בני דרור,2006,20
,בני עטרות,2006,10
,בני ציון,2006,14
,בני ראם,2006,10
,בניה,2006,2
,בצרה,2006,15
,בקוע,2006,58
,בת חפר,2006,93
,ג'לג'וליה,2006,16
,ג'סר א-זרקא,2006,16
,ג'ת,2006,43
,גאולים,2006,5
,גבעת ברנר,2006,26
,"גבעת ח""ן",2006,1
,גבעת חיים )איחוד(,2006,1
,"גבעת כ""ח",2006,19
,גבעת שמואל,2006,290
,גזר,2006,20
,גינתון,2006,3
,גליל ים,2006,4
,גן השומרון,2006,17
,גן חיים,2006,18
,גן יאשיה,2006,8
,גן שורק,2006,6
,גן שמואל,2006,1
,גנות,2006,3
,גנות הדר,2006,2
,גני הדר,2006,15
,גני יהודה,2006,4
,גני יוחנן,2006,3
,גני עם,2006,9
,גני תקווה,2006,163
,געש,2006,29
,גת רימון,2006,5
,הדר עם,2006,1
,הרדוף,2006,3
,זיתן,2006,27
,זמר,2006,1
,ח'ואלד )שבט(,2006,3
,חבצלת השרון,2006,16
,חג'אג'רה*,2006,2
,חגור,2006,5
,חגלה,2006,4
,חדיד,2006,28
,חופית,2006,6
,חורשים,2006,1
,חיבת ציון,2006,7
,חירות,2006,4
,חניאל,2006,2
,חפץ חיים,2006,2
,חרב לאת,2006,21
,טייבה,2006,85
,טירה,2006,38
,טירת יהודה,2006,11
,יד בנימין,2006,42
,יד חנה,2006,2
,"יד רמב""ם",2006,20
,יהוד,2006,374
,ימא,2006,7
,ינוב,2006,3
,יציץ,2006,8
,יקום,2006,1
,ירחיב,2006,49
,ישרש,2006,4
,כוכב יאיר,2006,35
,כעביה-טבאש-חג'אג'רה,2006,19
,כפר אביב,2006,2
,כפר אוריה,2006,17
,"כפר אז""ר",2006,22
,"כפר ביל""ו",2006,5
,כפר בן נון,2006,11
,כפר ברא,2006,6
,כפר גליקסון,2006,1
,כפר המכבי,2006,5
,כפר הס,2006,8
,"כפר הרא""ה",2006,9
,כפר ויתקין,2006,5
,"כפר חב""ד",2006,1
,כפר חיים,2006,4
,כפר טרומן,2006,1
,כפר ידידיה,2006,4
,כפר יונה,2006,513
,כפר יעבץ,2006,24
,כפר מונש,2006,3
,"כפר מל""ל",2006,6
,כפר מרדכי,2006,28
,כפר נטר,2006,17
,כפר קאסם,2006,51
,כפר רות,2006,4
,כפר שמואל,2006,3
,כפר שמריהו,2006,39
,להבות חביבה,2006,4
,לפיד,2006,17
,מ. א. עמק לוד,2006,3
,מאור,2006,11
,מגל,2006,299
,מגשימים,2006,3
,מזור,2006,6
,מזכרת בתיה,2006,181
,מייסר,2006,3
,מישר,2006,4
,מכבים-רעות,2006,76
,מכמורת,2006,13
,מענית,2006,1
,מעש,2006,1
,מצליח,2006,57
,מרגה,2006,4
,משגב דב,2006,5
,משמר השבעה,2006,1
,משמר השרון,2006,2
,משמרות,2006,2
,משמרת,2006,9
,מתן,2006,21
,נווה אפרים,2006,11
,נווה ימין,2006,12
,נווה ירק,2006,6
,נווה מבטח,2006,3
,נופך,2006,1
,נורדיה,2006,20
,נחלים,2006,15
,ניצני עוז,2006,16
,נירית,2006,6
,נצר סרני,2006,98
,סביון*,2006,53
,סתריה,2006,1
,עדנים,2006,11
,עולש,2006,2
,עזריאל,2006,18
,עין החורש,2006,2
,עין ורד,2006,13
,עין שריד,2006,34
,עשרת,2006,8
,פדיה,2006,5
,פורת,2006,1
,פלמחים,2006,1
,פרדסיה,2006,27
,פתחיה,2006,3
,צופית,2006,11
,צור יגאל,2006,45
,צור משה,2006,18
,צור נתן,2006,16
,צורן,2006,67
,צפריה,2006,10
,צרעה,2006,1
,קדימה-צורן,2006,164
,קדרון,2006,26
,קלנסווה,2006,37
,קריית עקרון,2006,94
,ראס עלי,2006,1
,רביד,2006,1
,רמות השבים,2006,25
,רמות מאיר,2006,5
,רמת אפעל,2006,30
,רשפון,2006,23
,שדה ורבורג,2006,30
,שדה יצחק,2006,13
,שדי חמד,2006,4
,שוהם,2006,229
,שילת,2006,10
,שעלבים,2006,6
,שער אפרים,2006,21
,שפיים,2006,2
,תל יצחק,2006,12
,תל מונד,2006,166
,תלמי אלעזר,2006,2
,תנובות,2006,14
,אביגדור,2006,5
,אבן שמואל,2006,6
,אורה,2006,1
,אורות,2006,11
,אחוזם,2006,2
,אחיסמך,2006,2
,אמונים,2006,14
,באר טוביה,2006,23
,ביצרון,2006,14
,בית אורן,2006,2
,בית הגדי,2006,4
,בית זית,2006,1
,בית חנן,2006,12
,בית שקמה,2006,4
,ביתר עילית,2006,2
,בני דרום,2006,2
,"בני עי""ש",2006,56
,ברור חיל,2006,8
,ברכיה,2006,3
,בת הדר,2006,15
,גאליה,2006,1
,גבעולים,2006,4
,גבעת השלושה,2006,2
,גבעתי,2006,1
,גיבתון,2006,3
,גילת,2006,9
,גן הדרום,2006,4
,גן יבנה,2006,413
,גן שלמה,2006,14
,"דרום השרון מ""א 02",2006,5
,הודיה,2006,36
,ורדון,2006,2
,זבדיאל,2006,2
,זיקים,2006,1
,זרועה,2006,14
,זרחיה,2006,1
,חצב,2006,3
,יבול,2006,9
,יד נתן,2006,7
,ינון,2006,9
,יסודות,2006,1
,כוכב מיכאל,2006,2
,כפר אחים,2006,10
,כפר גבירול,2006,1
,כפר דניאל,2006,33
,כפר הנגיד,2006,1
,כפר ורבורג,2006,5
,כפר מימון,2006,2
,כפר מנחם,2006,37
,כפר סירקין,2006,2
,כפר עזה,2006,2
,כרמיה,2006,1
,לכיש,2006,2
,מ. א. באר טוביה,2006,2
,מ. א. ברנר,2006,2
,מ. א. גן רוה,2006,1
,מ. א. חבל יבנה,2006,1
,מ. א. חוף אשקלון,2006,14
,מרכז שפירא,2006,8
,משואות יצחק,2006,1
,משען,2006,10
,נגבה,2006,6
,נהורה,2006,6
,נוגה,2006,2
,נחל עוז,2006,1
,נחלת יהודה,2006,30
,נטעים,2006,22
,ניצן,2006,3
,ניצנה )קהילת חינוך(,2006,1
,ניר בנים,2006,2
,ניר גלים,2006,25
,"ניר ח""ן",2006,4
,ניר ישראל,2006,2
,ניר עקיבא,2006,4
,ניר צבי,2006,3
,עוצם,2006,1
,עזר,2006,5
,עזריה,2006,10
,עזריקם,2006,28
,עיינות,2006,5
,ערוגות,2006,11
,ערערה-בנגב,2006,1
,פלוגות,2006,1
,פרי גן,2006,1
,צלפון,2006,1
,קריית מלאכי,2006,155
,רווחה,2006,1
,שדה דוד,2006,1
,שדה עוזיהו,2006,10
,שחר,2006,2
,שפיר,2006,1
,שקף,2006,3
,שרשרת,2006,3
,שתולים,2006,14
,תאשור,2006,5
,תושיה,2006,1
,תימורים,2006,10
,"תלמי ביל""ו",2006,6
,תלמי יחיאל,2006,2
,תלמי יפה,2006,19
,תלמי מנשה,2006,2
,תלמים,2006,25
,,2007,69
,אבו ג'ווייעד )שבט(,2007,23
,אבו גוש,2007,27
,אבו סנאן,2007,116
,אבו קורינאת )שבט(,2007,5
,אבטליון,2007,5
,אביטל,2007,1
,אביעזר,2007,78
,אדמית,2007,2
,אדרת,2007,70
,אוהד,2007,1
,אום אל-פחם,2007,161
,אומן,2007,6
,אחוזת ברק,2007,2
,אחיהוד,2007,4
,אילון,2007,5
,אילות,2007,1
,אלון הגליל,2007,4
,אלקוש,2007,3
,ארבל,2007,23
,אשבול,2007,43
,אשחר,2007,24
,אשלים,2007,5
,אשרת,2007,3
,אשתאול,2007,9
,באר אורה,2007,5
,בוסתן הגליל,2007,84
,בטחה,2007,4
,ביאדה,2007,3
,ביר הדאג',2007,1
,בית אלפא,2007,10
,בית ג'ן,2007,65
,בית הגדי,2007,1
,בית השיטה,2007,43
,בית זית,2007,8
,בית יוסף,2007,3
,בית ניר,2007,1
,בית נקופה,2007,3
,בית קמה,2007,5
,בית שאן,2007,173
,ביתר עילית,2007,11
,בן עמי,2007,6
,בני יהודה,2007,3
,"בסמ""ה",2007,4
,בענה,2007,15
,בר גיורא,2007,1
,ברוש,2007,15
,ברטעה,2007,1
,ג'דיידה-מכר,2007,62
,ג'ולס,2007,43
,גבע,2007,1
,גבעות בר,2007,1
,גבעת אלה,2007,6
,גבעת יואב,2007,1
,גבעת יערים,2007,59
,גבעת ישעיהו,2007,38
,גדיידה,2007,10
,גדיש,2007,2
,גדעונה,2007,1
,גדרה,2007,632
,גורן,2007,1
,גורנות הגליל,2007,3
,גילון,2007,35
,גילת,2007,48
,גיתה,2007,6
,גן נר,2007,21
,געתון,2007,1
,גשור,2007,1
,גשר,2007,1
,גשר הזיו,2007,1
,גת בגליל,2007,12
,דבורה,2007,2
,דברת,2007,4
,דייר אל-אסד,2007,19
,דייר חנא,2007,37
,הושעיה,2007,4
,הילה,2007,4
,הררית,2007,14
,זוהר,2007,4
,זכריה,2007,4
,זלפה,2007,10
,זנוח,2007,22
,זרועה,2007,16
,חבר,2007,4
,חד-נס,2007,12
,חוסן,2007,95
,חורה,2007,5
,חורפיש,2007,25
,חלוץ,2007,2
,חניתה,2007,1
,חנתון,2007,16
,חספין,2007,2
,חצבה,2007,2
,חריש,2007,30
,חרשים,2007,8
,טייבה )בעמק(,2007,1
,טל-אל,2007,15
,טמרה,2007,99
,יאנוח,2007,33
,יאנוח-ג'ת,2007,1
,יובלים,2007,2
,יונתן,2007,1
,יושיביה,2007,2
,יזרעאל,2007,4
,יסעור,2007,14
,יעד,2007,5
,יערה,2007,2
,ירוחם,2007,77
,ירכא,2007,59
,ישע,2007,1
,כאבול,2007,23
,כאוכב אבו אל-היג'א,2007,24
,כברי,2007,1
,כיסרא,2007,9
,כליל,2007,3
,כמון,2007,10
,כסלון,2007,5
,כסרא-סמיע,2007,8
,כפר החורש,2007,24
,"כפר הרי""ף",2007,15
,כפר ורדים,2007,47
,כפר חנניה,2007,1
,כפר יאסיף,2007,32
,כפר יחזקאל,2007,10
,כפר מנדא,2007,73
,כפר מצר,2007,2
,כפר סמיע,2007,7
,כפר ראש הנקרה,2007,4
,כפר רוזנואלד )זרעית(,2007,5
,כפר רופין,2007,2
,כרמים,2007,3
,כרמל,2007,1
,לבון,2007,9
,להב,2007,27
,להבים,2007,13
,לוזית,2007,2
,לוחמי הגיטאות,2007,2
,לוטם,2007,11
,מ. א. בקעת בית שאן,2007,3
,מ. א. הגליל העליון,2007,6
,מ. א. מטה יהודה,2007,12
,מ. א. משגב,2007,6
,מבוא ביתר,2007,12
,מבועים,2007,15
,מבשרת ציון,2007,269
,מג'דל שמס,2007,1
,מג`ד אל-כרום,2007,68
,מגדל העמק,2007,244
,מגידו,2007,14
,מגן שאול,2007,6
,מולדת,2007,20
,מועאוויה,2007,16
,מוצא עילית,2007,3
,מוצמוץ,2007,1
,מוקייבלה,2007,43
,מורן,2007,2
,מושיירפה,2007,8
,מזרעה,2007,1
,מחנה גבעת חנניה,2007,3
,מטע,2007,5
,מי עמי,2007,11
,מיטב,2007,3
,מירב,2007,3
,מיתר,2007,45
,מכמנים,2007,1
,מכר,2007,26
,מנוחה,2007,6
,מנוף,2007,1
,מנות,2007,1
,מסילת ציון,2007,3
,מסלול,2007,19
,מעגלים,2007,1
,מעונה,2007,2
,מעיליא,2007,62
,מעלה גלבוע,2007,5
,מעלה עירון,2007,3
,מעלות-תרשיחא,2007,136
,מצובה,2007,29
,"מצפה אבי""ב",2007,8
,מצפה רמון,2007,96
,משגב,2007,8
,משמר העמק,2007,32
,נאות הכיכר,2007,2
,נוב,2007,2
,נווה זיו,2007,3
,נווה מיכאל,2007,62
,נחם,2007,8
,נחף,2007,63
,נטועה,2007,2
,ניצני סיני,2007,1
,ניר דוד )תל עמל(,2007,22
,ניר יפה,2007,7
,ניר משה,2007,1
,נצרת,2007,255
,נתיב השיירה,2007,4
,סאג'ור,2007,35
,סאלם,2007,1
,סגולה,2007,6
,סח'נין,2007,175
,סלמה,2007,2
,סמר,2007,3
,ספיר,2007,6
,עגור,2007,6
,עומר,2007,109
,עופר,2007,5
,עילוט,2007,36
,עין איברהים,2007,22
,עין הבשור,2007,7
,עין המפרץ,2007,6
,עין חרוד )איחוד(,2007,3
,עין חרוד )מאוחד(,2007,1
,עין יהב,2007,14
,עין יעקב,2007,3
,עין נקובא,2007,4
,עמינדב,2007,4
,עצמון שגב,2007,2
,עראבה,2007,80
,ערערה-בנגב,2007,1
,פדויים,2007,5
,פטיש,2007,31
,פסוטה,2007,57
,"פעמי תש""ז",2007,2
,פקיעין )בוקייעה(,2007,35
,פרזון,2007,1
,פרי גן,2007,6
,צביה,2007,6
,צהל,2007,8
,צובה,2007,1
,צוחר,2007,3
,צופר,2007,1
,צוקים,2007,3
,צור הדסה,2007,95
,צוריאל,2007,2
,צורית,2007,13
,צנדלה,2007,1
,צפרירים,2007,1
,קטורה,2007,1
,קלחים,2007,25
,קציר,2007,20
,קצרין,2007,99
,קריית יערים,2007,48
,קרית יערים)מוסד(,2007,6
,קשת,2007,1
,ראמה,2007,54
,רביבים,2007,3
,רגבה,2007,13
,רהט,2007,14
,רחוב,2007,1
,רם-און,2007,10
,רמת רזיאל,2007,4
,רנן,2007,4
,רקפת,2007,7
,שבי ציון,2007,72
,שגב-שלום,2007,43
,שדה בוקר,2007,12
,שדה דוד,2007,8
,שדה משה,2007,21
,שדה נחום,2007,1
,שדה צבי,2007,17
,שדי תרומות,2007,2
,שואבה,2007,4
,שובל,2007,1
,שורש,2007,4
,שורשים,2007,8
,שחרות,2007,1
,שיבולים,2007,7
,שייח' דנון,2007,12
,שכניה,2007,52
,שלומי,2007,49
,שעב,2007,8
,שריגים )לי-און(,2007,13
,שרשרת,2007,7
,שתולה,2007,1
,תדהר,2007,36
,תירוש,2007,4
,תל תאומים,2007,3
,"תלמי ביל""ו",2007,2
,אביאל,2007,12
,אור עקיבא,2007,165
,אושה,2007,1
,איילת השחר,2007,13
,אילניה,2007,10
,אכסאל,2007,48
,אלוני אבא,2007,14
,אלונים,2007,1
,אליקים,2007,6
,אמירים,2007,1
,אמנון,2007,7
,אעבלין,2007,187
,אפק,2007,2
,אשדות יעקב )איחוד(,2007,13
,בועיינה-נוג'ידאת,2007,6
,ביר אל-מכסור,2007,15
,ביריה,2007,5
,בית הלל,2007,1
,בית לחם הגלילית,2007,3
,בית רימון,2007,1
,בית שערים,2007,4
,בנימינה-גבעת עדה,2007,199
,בר יוחאי,2007,6
,בת שלמה,2007,13
,ג'ש )גוש חלב(,2007,51
,גבע כרמל,2007,3
,גבעת אבני,2007,24
,"גבעת ניל""י",2007,1
,גבעת עדה,2007,85
,גונן,2007,1
,גיניגר,2007,31
,גפן,2007,5
,דאלית אל-כרמל,2007,173
,דבוריה,2007,39
,דגניה ב',2007,6
,"דוב""ב",2007,5
,דחי,2007,2
,דליה,2007,2
,דלתון,2007,2
,דפנה,2007,3
,האון,2007,2
,הבונים,2007,2
,הזורעים,2007,8
,היוגב,2007,6
,הסוללים,2007,36
,זובידאת )שבט(,2007,1
,זכרון יעקב,2007,481
,זרזיר,2007,15
,חוקוק,2007,10
,חזון,2007,6
,חצור הגלילית,2007,69
,חרוצים,2007,12
,טובא-זנגריה,2007,7
,טורעאן,2007,55
,טירת כרמל,2007,198
,טפחות,2007,6
,יבנאל,2007,53
,יובל,2007,29
,יודפת,2007,1
,יסוד המעלה,2007,21
,יפיע,2007,72
,יפתח,2007,3
