settlement_code,settlement,rows
1042,אבו עמאר )שבט(,2
1225,רביד,2
958,אבו עבדון )שבט(,2
402,ניר יצחק,2
,מ.א. אל קסום,2
1053,עין חצבה,2
667,ברעם,2
,מ. א. אל-בטוף,2
,מחנה יבור,2
1111,צופיה,2
,נחל שורק,2
,ג'לג'יליא,1
1129,גרופית,1
,"אזור בשור מ""א 83",1
,"אזור שפרעם מ""א 65",1
3794,בת עין,1
,"אזור פתח תקווה מ""א 02",1
,"אזור לכיש מ""א 05",1
3643,חיננית,1
,"דרום השרון של""ש",1
,"אזור רמת גן מ""א 42",1
2021,אשל הנשיא,1
,"אזור פתח תקווה מ""א 52",1
,"גליל עליון מז מ""א 2",1
,"אזור תל אביב של""ש",1
,תעשיון בינימין*,1
,שבטה,1
848,בית רבן,1
392,קדמה,1
3640,קרני שומרון,1
,תעשיון חצב*,1
,קרית בנימין,1
,עארורה,1
,ג'ית,1
,ברקא,1
,בית ליד,1
,באקה א-שרקיה,1
,"אזור יקנעם מ""א 9",1
,"אזור יקנעם מ""א 31",1
961,אבו רוקייק )שבט(,1
1239,חולית,1
1367,כחלה,1
1419,ניצן ב',1
427,כפר גלים,1
3560,אלקנה,1
3564,כוכב השחר,1
3617,עופרה,1
3641,שילה,1
3652,בית אריה,1
3658,עטרת,1
3709,מבוא חורון,1
3715,עלמון,1
3743,טנא,1
3756,סוסיה,1
3779,כוכב יעקב,1
3787,נעלה,1
3823,גני מודיעין,1
,"אזור באר שבע מ""א 15",1
,תל חי,1
,קרן,1
,קריית שדה התעופה,1
,מ. א. לב השרון,1
,"פארק הירדן מ""א 6",1
,סנסנה*,1
,נווה דקלים,1
,מצדות יהודה,1
,חרבת אבו חמיש,1
,"הר הנגב הדרומי מ""א 35",1
,דרום יהודה,1
,"גולן דרומי מ""א 17",1
,אורון,1
,חרוב,1
,מ. א. בוסתאן אל מרג',1
3648,מתתיהו,1
3613,גיתית,1
3569,מבוא דותן,1
,מ. א. מטה בנימין,1
897,מדרשת רופין,1
,"נפת ירדן מ""א 47",1
,ערב אל היב,1
,עמריה,1
,עין א-סהלה,1
,מרכז אזורי מרום הגליל,1
,מפעלי גליל עליון,1
,ערב אל ווהב,1
,ואדי אל-ועד,1
,"גליל תחתון מז מ""א 3",1
,ג'למה,1
,בר-לב,1
,"אזור נהריה של""ש",1
,"אזור כרמיאל מ""א 2",1
,פלוגות,1
,אוריאל,1
